Index,TotalGain,LNA,TIA,PGA,ATTN,LNA1,LNA2,EVM_PCT,EVM_SNR
0,3,0,0,-12,-18,33,0,717.3333333333334,-6.333333333333333
1,4,0,0,-11,-18,33,0,4993.0,-340.6666666666667
2,5,0,0,-10,-18,33,0,363.3333333333333,-5.0
3,6,0,0,-9,-18,33,0,144.66666666666666,-1.3333333333333333
4,7,0,0,-8,-18,33,0,97.0,0.3333333333333333
5,8,0,0,-7,-18,33,0,135.33333333333334,-0.6666666666666666
6,9,0,0,-6,-18,33,0,76.66666666666667,0.6666666666666666
7,10,0,0,-5,-18,33,0,60.333333333333336,1.3333333333333333
8,11,0,0,-4,-18,33,0,51.666666666666664,2.0
9,12,0,0,-3,-18,33,0,41.333333333333336,3.3333333333333335
10,13,0,0,-2,-18,33,0,36.0,3.6666666666666665
11,14,0,0,-1,-18,33,0,31.333333333333332,4.666666666666667
12,15,0,0,0,-18,33,0,23.0,5.666666666666667
13,16,0,0,1,-18,33,0,23.0,5.666666666666667
14,17,0,0,2,-18,33,0,29.333333333333332,4.666666666666667
15,18,0,0,3,-18,33,0,24.0,5.666666666666667
16,19,0,0,4,-18,33,0,16.666666666666668,7.333333333333333
17,20,0,0,5,-18,33,0,15.666666666666666,7.333333333333333
18,21,0,0,6,-18,33,0,16.333333333333332,7.333333333333333
19,22,0,0,7,-18,33,0,13.0,8.333333333333334
20,23,0,0,8,-18,33,0,14.333333333333334,8.0
21,24,0,0,9,-18,33,0,13.0,8.0
22,25,0,0,10,-18,33,0,16.0,7.333333333333333
23,26,0,0,11,-18,33,0,13.333333333333334,8.333333333333334
24,27,0,0,12,-18,33,0,14.0,8.0
25,28,0,0,13,-18,33,0,15.0,7.333333333333333
26,29,0,0,14,-18,33,0,12.333333333333334,8.333333333333334
27,30,0,0,15,-18,33,0,10.666666666666666,9.0
28,31,0,0,16,-18,33,0,11.333333333333334,8.666666666666666
29,32,0,0,17,-18,33,0,12.666666666666666,8.333333333333334
30,33,0,0,18,-18,33,0,13.666666666666666,8.0
31,34,0,0,19,-18,33,0,18.666666666666668,7.0
32,12,0,9,-12,-18,33,0,177.33333333333334,-2.0
33,13,0,9,-11,-18,33,0,194.66666666666666,-2.3333333333333335
34,14,0,9,-10,-18,33,0,110.33333333333333,-0.6666666666666666
35,15,0,9,-9,-18,33,0,60.333333333333336,1.6666666666666667
36,16,0,9,-8,-18,33,0,59.666666666666664,2.0
37,17,0,9,-7,-18,33,0,51.333333333333336,2.6666666666666665
38,18,0,9,-6,-18,33,0,37.666666666666664,4.0
39,19,0,9,-5,-18,33,0,40.0,3.6666666666666665
40,20,0,9,-4,-18,33,0,25.333333333333332,5.333333333333333
41,21,0,9,-3,-18,33,0,21.333333333333332,6.0
42,22,0,9,-2,-18,33,0,21.0,6.333333333333333
43,23,0,9,-1,-18,33,0,18.0,7.0
44,24,0,9,0,-18,33,0,14.666666666666666,7.666666666666667
45,25,0,9,1,-18,33,0,15.333333333333334,7.666666666666667
46,26,0,9,2,-18,33,0,14.666666666666666,8.0
47,27,0,9,3,-18,33,0,14.0,8.0
48,28,0,9,4,-18,33,0,13.0,8.333333333333334
49,29,0,9,5,-18,33,0,12.0,8.666666666666666
50,30,0,9,6,-18,33,0,12.333333333333334,8.666666666666666
51,31,0,9,7,-18,33,0,9.333333333333334,9.666666666666666
52,32,0,9,8,-18,33,0,11.666666666666666,8.333333333333334
53,33,0,9,9,-18,33,0,10.333333333333334,9.0
54,34,0,9,10,-18,33,0,10.333333333333334,9.0
55,35,0,9,11,-18,33,0,11.666666666666666,8.666666666666666
56,36,0,9,12,-18,33,0,10.0,9.333333333333334
57,37,0,9,13,-18,33,0,10.333333333333334,9.333333333333334
58,38,0,9,14,-18,33,0,8.666666666666666,10.0
59,39,0,9,15,-18,33,0,10.0,9.333333333333334
60,40,0,9,16,-18,33,0,11.333333333333334,8.666666666666666
61,41,0,9,17,-18,33,0,10.333333333333334,9.0
62,42,0,9,18,-18,33,0,8.333333333333334,10.0
63,43,0,9,19,-18,33,0,9.666666666666666,9.333333333333334
64,15,0,12,-12,-18,33,0,92.33333333333333,0.3333333333333333
65,16,0,12,-11,-18,33,0,55.0,2.0
66,17,0,12,-10,-18,33,0,52.0,2.3333333333333335
67,18,0,12,-9,-18,33,0,37.333333333333336,3.6666666666666665
68,19,0,12,-8,-18,33,0,30.0,4.666666666666667
69,20,0,12,-7,-18,33,0,-312.6666666666667,-330.0
70,21,0,12,-6,-18,33,0,21.666666666666668,6.0
71,22,0,12,-5,-18,33,0,18.333333333333332,7.0
72,23,0,12,-4,-18,33,0,15.333333333333334,7.666666666666667
73,24,0,12,-3,-18,33,0,14.0,8.0
74,25,0,12,-2,-18,33,0,13.666666666666666,7.666666666666667
75,26,0,12,-1,-18,33,0,11.333333333333334,8.666666666666666
76,27,0,12,0,-18,33,0,10.0,9.333333333333334
77,28,0,12,1,-18,33,0,11.333333333333334,8.666666666666666
78,29,0,12,2,-18,33,0,11.333333333333334,8.666666666666666
79,30,0,12,3,-18,33,0,9.333333333333334,9.666666666666666
80,31,0,12,4,-18,33,0,8.666666666666666,10.0
81,32,0,12,5,-18,33,0,8.0,10.0
82,33,0,12,6,-18,33,0,7.333333333333333,10.333333333333334
83,34,0,12,7,-18,33,0,8.333333333333334,10.0
84,35,0,12,8,-18,33,0,7.0,11.0
85,36,0,12,9,-18,33,0,8.333333333333334,10.333333333333334
86,37,0,12,10,-18,33,0,7.0,10.666666666666666
87,38,0,12,11,-18,33,0,8.666666666666666,10.0
88,39,0,12,12,-18,33,0,7.333333333333333,10.666666666666666
89,40,0,12,13,-18,33,0,8.0,10.0
90,41,0,12,14,-18,33,0,7.333333333333333,10.666666666666666
91,42,0,12,15,-18,33,0,6.666666666666667,11.333333333333334
92,43,0,12,16,-18,33,0,7.333333333333333,10.666666666666666
93,44,0,12,17,-18,33,0,8.666666666666666,10.0
94,45,0,12,18,-18,33,0,7.333333333333333,10.666666666666666
95,46,0,12,19,-18,33,0,7.0,10.666666666666666
96,6,3,0,-12,-18,33,0,206.33333333333334,-2.3333333333333335
97,7,3,0,-11,-18,33,0,137.66666666666666,-0.6666666666666666
98,8,3,0,-10,-18,33,0,93.33333333333333,0.3333333333333333
99,9,3,0,-9,-18,33,0,76.66666666666667,0.6666666666666666
100,10,3,0,-8,-18,33,0,55.666666666666664,2.0
101,11,3,0,-7,-18,33,0,46.333333333333336,2.6666666666666665
102,12,3,0,-6,-18,33,0,34.333333333333336,4.0
103,13,3,0,-5,-18,33,0,27.333333333333332,5.333333333333333
104,14,3,0,-4,-18,33,0,30.333333333333332,4.333333333333333
105,15,3,0,-3,-18,33,0,20.666666666666668,6.333333333333333
106,16,3,0,-2,-18,33,0,19.666666666666668,6.333333333333333
107,17,3,0,-1,-18,33,0,16.0,7.333333333333333
108,18,3,0,0,-18,33,0,14.0,8.0
109,19,3,0,1,-18,33,0,13.0,8.666666666666666
110,20,3,0,2,-18,33,0,10.666666666666666,9.0
111,21,3,0,3,-18,33,0,9.666666666666666,9.333333333333334
112,22,3,0,4,-18,33,0,9.0,9.666666666666666
113,23,3,0,5,-18,33,0,9.0,9.666666666666666
114,24,3,0,6,-18,33,0,9.0,10.0
115,25,3,0,7,-18,33,0,8.666666666666666,9.666666666666666
116,26,3,0,8,-18,33,0,8.666666666666666,10.0
117,27,3,0,9,-18,33,0,7.666666666666667,10.333333333333334
118,28,3,0,10,-18,33,0,6.666666666666667,11.0
119,29,3,0,11,-18,33,0,7.333333333333333,10.666666666666666
120,30,3,0,12,-18,33,0,6.666666666666667,11.0
121,31,3,0,13,-18,33,0,7.0,11.0
122,32,3,0,14,-18,33,0,7.0,10.666666666666666
123,33,3,0,15,-18,33,0,6.333333333333333,11.333333333333334
124,34,3,0,16,-18,33,0,6.666666666666667,11.0
125,35,3,0,17,-18,33,0,6.0,11.333333333333334
126,36,3,0,18,-18,33,0,-328.6666666666667,-325.6666666666667
127,37,3,0,19,-18,33,0,6.666666666666667,11.0
128,15,3,9,-12,-18,33,0,79.0,0.6666666666666666
129,16,3,9,-11,-18,33,0,50.666666666666664,2.3333333333333335
130,17,3,9,-10,-18,33,0,41.0,3.3333333333333335
131,18,3,9,-9,-18,33,0,30.0,4.666666666666667
132,19,3,9,-8,-18,33,0,28.666666666666668,5.0
133,20,3,9,-7,-18,33,0,19.666666666666668,6.333333333333333
134,21,3,9,-6,-18,33,0,19.666666666666668,6.333333333333333
135,22,3,9,-5,-18,33,0,15.0,7.666666666666667
136,23,3,9,-4,-18,33,0,13.0,8.666666666666666
137,24,3,9,-3,-18,33,0,11.0,8.666666666666666
138,25,3,9,-2,-18,33,0,10.333333333333334,9.0
139,26,3,9,-1,-18,33,0,7.666666666666667,10.333333333333334
140,27,3,9,0,-18,33,0,8.666666666666666,10.0
141,28,3,9,1,-18,33,0,7.0,11.0
142,29,3,9,2,-18,33,0,7.0,10.666666666666666
143,30,3,9,3,-18,33,0,6.0,11.333333333333334
144,31,3,9,4,-18,33,0,6.666666666666667,11.0
145,32,3,9,5,-18,33,0,5.333333333333333,12.0
146,33,3,9,6,-18,33,0,5.333333333333333,12.0
147,34,3,9,7,-18,33,0,6.333333333333333,11.333333333333334
148,35,3,9,8,-18,33,0,6.0,11.666666666666666
149,36,3,9,9,-18,33,0,5.333333333333333,12.0
150,37,3,9,10,-18,33,0,5.333333333333333,12.0
151,38,3,9,11,-18,33,0,5.0,12.0
152,39,3,9,12,-18,33,0,5.0,12.333333333333334
153,40,3,9,13,-18,33,0,5.0,12.0
154,41,3,9,14,-18,33,0,4.666666666666667,12.333333333333334
155,42,3,9,15,-18,33,0,5.333333333333333,11.666666666666666
156,43,3,9,16,-18,33,0,4.666666666666667,12.333333333333334
157,44,3,9,17,-18,33,0,4.666666666666667,12.666666666666666
158,45,3,9,18,-18,33,0,5.333333333333333,12.0
159,46,3,9,19,-18,33,0,5.333333333333333,12.0
160,18,3,12,-12,-18,33,0,27.0,5.333333333333333
161,19,3,12,-11,-18,33,0,23.666666666666668,6.0
162,20,3,12,-10,-18,33,0,27.333333333333332,5.0
163,21,3,12,-9,-18,33,0,18.666666666666668,7.0
164,22,3,12,-8,-18,33,0,12.666666666666666,8.333333333333334
165,23,3,12,-7,-18,33,0,12.333333333333334,8.666666666666666
166,24,3,12,-6,-18,33,0,12.333333333333334,8.333333333333334
167,25,3,12,-5,-18,33,0,9.0,9.666666666666666
168,26,3,12,-4,-18,33,0,8.333333333333334,10.0
169,27,3,12,-3,-18,33,0,6.666666666666667,11.0
170,28,3,12,-2,-18,33,0,6.333333333333333,11.333333333333334
171,29,3,12,-1,-18,33,0,6.0,11.333333333333334
172,30,3,12,0,-18,33,0,7.0,11.0
173,31,3,12,1,-18,33,0,5.666666666666667,12.0
174,32,3,12,2,-18,33,0,5.333333333333333,12.333333333333334
175,33,3,12,3,-18,33,0,4.333333333333333,12.666666666666666
176,34,3,12,4,-18,33,0,5.0,12.0
177,35,3,12,5,-18,33,0,4.666666666666667,12.666666666666666
178,36,3,12,6,-18,33,0,4.333333333333333,12.666666666666666
179,37,3,12,7,-18,33,0,4.0,13.0
180,38,3,12,8,-18,33,0,4.0,13.0
181,39,3,12,9,-18,33,0,4.333333333333333,12.666666666666666
182,40,3,12,10,-18,33,0,4.333333333333333,12.666666666666666
183,41,3,12,11,-18,33,0,4.666666666666667,12.333333333333334
184,42,3,12,12,-18,33,0,4.0,13.0
185,43,3,12,13,-18,33,0,-330.3333333333333,-324.3333333333333
186,44,3,12,14,-18,33,0,3.3333333333333335,13.666666666666666
187,45,3,12,15,-18,33,0,3.6666666666666665,13.333333333333334
188,46,3,12,16,-18,33,0,4.333333333333333,12.666666666666666
189,47,3,12,17,-18,33,0,4.0,13.0
190,48,3,12,18,-18,33,0,3.6666666666666665,13.333333333333334
191,49,3,12,19,-18,33,0,3.3333333333333335,13.666666666666666
192,9,6,0,-12,-18,33,0,71.0,1.0
193,10,6,0,-11,-18,33,0,47.666666666666664,2.3333333333333335
194,11,6,0,-10,-18,33,0,38.666666666666664,3.6666666666666665
195,12,6,0,-9,-18,33,0,30.666666666666668,4.666666666666667
196,13,6,0,-8,-18,33,0,23.666666666666668,5.666666666666667
197,14,6,0,-7,-18,33,0,21.666666666666668,5.666666666666667
198,15,6,0,-6,-18,33,0,17.333333333333332,7.0
199,16,6,0,-5,-18,33,0,-322.6666666666667,-328.0
200,17,6,0,-4,-18,33,0,16.666666666666668,7.0
201,18,6,0,-3,-18,33,0,10.0,9.333333333333334
202,19,6,0,-2,-18,33,0,8.666666666666666,10.0
203,20,6,0,-1,-18,33,0,8.0,10.0
