Index,TotalGain,PA1,PA2,PA3,ATTN,IAMP,PAD,FREQ_ERR_AVG_HZ,FREQ_ERR_MAX_HZ,PWR_OUT_AVG_DBM,PWR_OUT_MAX_DBM,PWR_MEAN_AVG_DBM,PWR_MEAN_MAX_DBM,EVM_RMS_AVG_PCT,EVM_RMS_MAX_PCT
0,14.7,13.7,0,31,-18,-12,0,999999999999,999999999999,-999,-999,-999,-999,-999,-999
1,15.7,13.7,0,31,-18,-12,1,999999999999,999999999999,-999,-999,-999,-999,-999,-999
2,16.7,13.7,0,31,-18,-12,2,999999999999,999999999999,-999,-999,-999,-999,-999,-999
3,17.7,13.7,0,31,-18,-12,3,999999999999,999999999999,-999,-999,-999,-999,-999,-999
4,18.7,13.7,0,31,-18,-12,4,999999999999,999999999999,-999,-999,-999,-999,-999,-999
5,19.7,13.7,0,31,-18,-12,5,211.95,365.01,-76.38,-76.21,-82.98,-82.79,160.57,169.57
6,20.7,13.7,0,31,-18,-12,6,74.66,592.58,-76.2,-76.19,-82.78,-82.75,143.84,148.09
7,21.7,13.7,0,31,-18,-12,7,307.48,897.6,-75.99,-75.97,-81.89,-81.84,319.2,340.58
8,22.7,13.7,0,31,-18,-12,8,61.29,115.42,-76.03,-76.01,-81.91,-81.85,169.03,285.78
9,23.7,13.7,0,31,-18,-12,9,51.99,-527.89,-75.76,-75.74,-80.82,-80.77,150.64,215.82
10,24.7,13.7,0,31,-18,-12,10,19.91,746.83,-75.8,-75.78,-80.83,-80.79,143.26,174.18
11,25.7,13.7,0,31,-18,-12,11,257.53,982.15,-75.35,-75.33,-79.54,-79.51,143.53,198.42
12,26.7,13.7,0,31,-18,-12,12,84.03,740.16,-75.37,-75.34,-79.56,-79.5,140.34,171.86
13,27.7,13.7,0,31,-18,-12,13,328.86,1445.34,-74.73,-74.7,-78.13,-78.09,133.86,173.27
14,28.7,13.7,0,31,-18,-12,14,257.19,1121.25,-74.73,-74.71,-78.14,-78.1,130.48,151.42
15,29.7,13.7,0,31,-18,-12,15,243.94,847.85,-73.85,-73.82,-76.5,-76.47,105.46,127.76
16,30.7,13.7,0,31,-18,-12,16,303.59,940.97,-73.85,-73.83,-76.52,-76.49,106.6,125.3
17,31.7,13.7,0,31,-18,-12,17,369.89,766.62,-72.74,-72.72,-74.77,-74.74,66.19,87.38
18,32.7,13.7,0,31,-18,-12,18,320.46,573.91,-72.75,-72.73,-74.79,-74.76,65.71,94.55
19,33.7,13.7,0,31,-18,-12,19,314.76,466.12,-71.43,-71.41,-72.96,-72.94,36.47,60.35
20,34.7,13.7,0,31,-18,-12,20,345.78,575.96,-71.44,-71.42,-72.97,-72.95,33.13,55.71
21,35.7,13.7,0,31,-18,-12,21,333.7,382.15,-69.87,-69.85,-71.02,-71,20.28,26.43
22,36.7,13.7,0,31,-18,-12,22,339.68,389.72,-69.88,-69.87,-71.03,-71.01,19.42,26.45
23,37.7,13.7,0,31,-18,-12,23,338.31,355.31,-68.15,-68.14,-69.03,-69.02,15.21,15.72
24,38.7,13.7,0,31,-18,-12,24,335.24,353.12,-68.16,-68.14,-69.04,-69.03,15.18,15.46
25,39.7,13.7,0,31,-18,-12,25,337.24,346.72,-66.28,-66.27,-66.98,-66.97,12.61,12.81
26,40.7,13.7,0,31,-18,-12,26,338.48,349.97,-66.29,-66.28,-66.99,-66.98,12.59,12.79
27,41.7,13.7,0,31,-18,-12,27,337.16,349.24,-64.32,-64.31,-64.9,-64.9,10.62,10.93
28,42.7,13.7,0,31,-18,-12,28,336.45,353.74,-64.33,-64.31,-64.91,-64.9,10.62,10.88
29,43.7,13.7,0,31,-18,-12,29,337.96,351.56,-62.37,-62.36,-62.88,-62.88,9.12,9.33
30,44.7,13.7,0,31,-18,-12,30,335.7,349.27,-62.37,-62.37,-62.89,-62.88,9.12,9.33
31,45.7,13.7,0,31,-18,-12,31,336.48,349.85,-60.27,-60.26,-60.74,-60.74,8.03,8.22
32,46.7,13.7,0,31,-18,-12,32,336.54,353.09,-60.28,-60.27,-60.75,-60.74,8.05,8.27
33,47.7,13.7,0,31,-18,-12,33,337.46,350.43,-58.33,-58.32,-58.77,-58.76,7.36,7.68
34,48.7,13.7,0,31,-18,-12,34,336.34,351.3,-58.33,-58.32,-58.77,-58.77,7.34,7.58
35,49.7,13.7,0,31,-18,-12,35,336.65,345.09,-56.28,-56.27,-56.71,-56.71,6.91,7.22
36,50.7,13.7,0,31,-18,-12,36,335.48,348.24,-56.29,-56.28,-56.72,-56.71,6.85,7.13
37,51.7,13.7,0,31,-18,-12,37,338.01,347.29,-54.27,-54.26,-54.69,-54.68,6.55,6.84
38,52.7,13.7,0,31,-18,-12,38,336.18,349.14,-54.27,-54.26,-54.69,-54.69,6.49,6.74
39,53.7,13.7,0,31,-18,-12,39,336.01,348.98,-52.25,-52.24,-52.67,-52.66,6.35,6.66
40,54.7,13.7,0,31,-18,-12,40,336.3,352.57,-52.26,-52.25,-52.67,-52.67,6.34,6.67
