Index,TotalGain,PA1,PA2,PA3,ATTN,IAMP,PAD,FREQ_ERR_AVG_HZ,FREQ_ERR_MAX_HZ,PWR_OUT_AVG_DBM,PWR_OUT_MAX_DBM,PWR_MEAN_AVG_DBM,PWR_MEAN_MAX_DBM,EVM_RMS_AVG_PCT,EVM_RMS_MAX_PCT
0,15.5,14,0,31.5,-18,-12,0,218.63,237.93,-71.3,-71.28,-73.04,-73.01,20.09,26.07
1,16.5,14,0,31.5,-18,-12,1,226.28,294.73,-71.35,-71.22,-73.11,-73.09,23.6,36.29
2,17.5,14,0,31.5,-18,-12,2,220.5,298.68,-71.41,-71.4,-73.15,-73.14,22.82,38.17
3,18.5,14,0,31.5,-18,-12,3,221.68,237.63,-69.74,-69.73,-71.08,-71.06,16.33,16.71
4,19.5,14,0,31.5,-18,-12,4,222.02,238.01,-69.76,-69.75,-71.1,-71.09,16.38,16.65
5,20.5,14,0,31.5,-18,-12,5,223.99,240.35,-68.11,-68.1,-69.18,-69.16,14.04,14.32
6,21.5,14,0,31.5,-18,-12,6,222.44,237.44,-68.14,-68.13,-69.2,-69.19,14.09,14.38
7,22.5,14,0,31.5,-18,-12,7,220.72,233.57,-66.52,-66.51,-67.41,-67.4,12.31,12.53
8,23.5,14,0,31.5,-18,-12,8,222.96,238.41,-66.55,-66.54,-67.43,-67.42,12.31,12.57
9,24.5,14,0,31.5,-18,-12,9,224.25,234.6,-64.84,-64.83,-65.59,-65.59,10.91,11.23
10,25.5,14,0,31.5,-18,-12,10,223.79,233.19,-64.86,-64.84,-65.61,-65.6,10.94,11.25
11,26.5,14,0,31.5,-18,-12,11,223.42,234.97,-63.1,-63.09,-63.76,-63.75,9.86,10.18
12,27.5,14,0,31.5,-18,-12,12,225.47,238.1,-63.11,-63.1,-63.77,-63.77,9.74,10.01
13,28.5,14,0,31.5,-18,-12,13,223.64,233.4,-61.35,-61.34,-61.93,-61.92,9.02,9.32
14,29.5,14,0,31.5,-18,-12,14,224.76,235.58,-61.36,-61.35,-61.95,-61.93,8.96,9.35
15,30.5,14,0,31.5,-18,-12,15,224.07,235.38,-59.47,-59.46,-60,-59.99,8.3,8.67
16,31.5,14,0,31.5,-18,-12,16,224.8,235.59,-59.48,-59.46,-60.01,-60.01,8.35,8.68
17,32.5,14,0,31.5,-18,-12,17,224.41,234.55,-57.58,-57.57,-58.08,-58.07,7.89,8.23
18,33.5,14,0,31.5,-18,-12,18,223.51,233.82,-57.59,-57.58,-58.09,-58.08,7.89,8.19
19,34.5,14,0,31.5,-18,-12,19,226.72,237.6,-55.66,-55.66,-56.14,-56.13,7.6,7.92
20,35.5,14,0,31.5,-18,-12,20,225.76,236.31,-55.67,-55.66,-56.15,-56.14,7.53,7.89
