PwrAtAnt(dBm)\rxgain,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
-116,-76.17193511,-75.57267064,-74.74880678,-76.17193511,-75.87230287,-75.2923834,-75.87230287,-75.01209617,-75.01209617,-73.98904572,-70.96536225,-69.26726194,-65.74593892,-64.25149743,-61.08732504,-56.55457719,-51.01630529,-46.47948809,-41.19727888,-36.47245375,-33.91963371
-113,-76.17193511,-75.57267064,-74.74880678,-76.17193511,-75.87230287,-75.2923834,-75.87230287,-75.01209617,-75.01209617,-73.98904572,-70.96536225,-69.26726194,-65.74593892,-64.18087888,-61.08732504,-56.4586085,-50.82875951,-46.39913289,-41.0886996,-36.25244514,-33.77536587
-110,-76.17193511,-75.57267064,-74.74880678,-76.17193511,-75.87230287,-75.2923834,-75.87230287,-75.01209617,-75.01209617,-73.98904572,-70.96536225,-69.26726194,-65.65450513,-64.04299604,-60.92744398,-56.27008746,-50.66397538,-46.16263875,-40.9289345,-36.06253525,-33.61146171
-107,-76.17193511,-75.57267064,-74.74880678,-76.17193511,-75.87230287,-75.2923834,-75.87230287,-75.01209617,-75.01209617,-73.98904572,-70.96536225,-69.1293791,-65.56110487,-63.67371436,-60.56116477,-55.81477958,-50.29619981,-45.78467944,-40.57555549,-35.67105871,-33.1395336
-104,-76.17193511,-75.57267064,-74.74880678,-76.17193511,-75.87230287,-75.2923834,-75.87230287,-75.01209617,-75.01209617,-73.98904572,-70.96536225,-68.85785664,-65.11683326,-63.03929059,-59.73740834,-55.02296712,-49.50508423,-44.87845655,-39.9895858,-34.90568513,-32.46786172
-101,-76.17193511,-75.57267064,-74.74880678,-76.17193511,-75.87230287,-75.2923834,-75.87230287,-75.01209617,-75.01209617,-73.75423476,-70.6311247,-68.46867598,-64.61516716,-61.80690107,-58.56909536,-53.75423476,-48.3609788,-43.60139723,-38.54358071,-33.72764909,-31.0531015
-98,-76.17193511,-75.57267064,-74.74880678,-76.17193511,-75.87230287,-75.2923834,-75.87230287,-74.74880678,-75.01209617,-73.29665985,-70.00964563,-67.62082474,-63.54234177,-60.23184523,-56.68900334,-51.89290279,-46.49640759,-41.721615,-37.22210962,-31.84273281,-29.16242684
-95,-76.17193511,-75.57267064,-74.74880678,-76.17193511,-75.87230287,-75.2923834,-75.57267064,-74.74880678,-74.48551739,-72.86200292,-69.0084941,-66.15424488,-61.85747688,-57.94838598,-54.23515318,-49.43401761,-44.25969267,-39.37524633,-34.97661577,-29.61721855,-26.89393822
-92,-76.17193511,-75.57267064,-74.74880678,-76.17193511,-75.87230287,-75.01209617,-75.57267064,-74.74880678,-73.75423476,-71.69086892,-67.78151785,-64.31027394,-59.69182191,-55.30325436,-51.5014443,-46.60006621,-41.47581858,-36.71373355,-32.2496329,-26.90520397,-24.19491103
-89,-76.17193511,-75.57267064,-74.74880678,-76.17193511,-75.87230287,-74.74880678,-75.57267064,-74.26575998,-73.08476686,-70.17354979,-65.80662382,-61.93446238,-57.06416695,-52.53926986,-48.74380238,-43.69370493,-38.63555744,-33.89989123,-29.50780602,-24.13760966,-21.28958731
