TotalGain,PA1,PA2,PA3,ATTN,PAD,IAMP,FREQ_ERR_AVG_HZ,PWR_OUT_AVG_DBM,PWR_MEAN_AVG_DBM,EVM_RMS_AVG_PCT
15,13.7,0,31,-18,0,-12,999999999999,-999,-999,-999
16,13.7,0,31,-18,0,-11,999999999999,-999,-999,-999
17,13.7,0,31,-18,0,-10,999999999999,-999,-999,-999
18,13.7,0,31,-18,0,-9,999999999999,-999,-999,-999
19,13.7,0,31,-18,0,-8,999999999999,-999,-999,-999
20,13.7,0,31,-18,0,-7,999999999999,-999,-999,-999
21,13.7,0,31,-18,0,-6,999999999999,-999,-999,-999
22,13.7,0,31,-18,0,-5,799999999972.44,-813.28,-814.66,-771.68
23,13.7,0,31,-18,0,-4,999999999999,-999,-999,-999
24,13.7,0,31,-18,0,-3,199999999917.15,-255.94,-260.89,-84.58
25,13.7,0,31,-18,0,-2,-97.7,-70.18,-76.35,163.57
26,13.7,0,31,-18,0,-1,265.7,-69.99,-75.67,145.15
27,13.7,0,31,-18,0,0,223.26,-69.72,-74.72,265
28,13.7,0,31,-12,0,-5,173.21,-69.25,-73.64,136.34
29,13.7,0,31,-12,0,-4,17.53,-69.24,-73.64,152.98
30,13.7,0,31,-12,0,-3,139.16,-68.57,-71.96,129.36
31,13.7,0,31,-12,0,-2,126.47,-68.57,-71.96,130.41
32,13.7,0,31,-12,0,-1,259.9,-68.03,-70.91,144.59
33,13.7,0,31,-12,0,0,244.52,-67.32,-69.6,87.06
34,13.7,0,31,-6,0,-5,242.59,-66.78,-69.04,82.41
35,13.7,0,31,-6,0,-4,215.93,-66.78,-69.05,79.9
36,13.7,0,31,-6,0,-3,251.22,-65.53,-67.06,37.65
37,13.7,0,31,-6,0,-2,270.53,-65.53,-67.06,41.58
38,13.7,0,31,-6,0,-1,273.86,-64.61,-65.89,30.82
39,13.7,0,31,-6,0,0,267.5,-63.53,-64.46,19.91
40,13.7,0,31,-6,1,0,262.1,-63.52,-64.46,20.51
41,13.7,0,31,-6,2,0,267.17,-63.52,-64.46,19.93
42,13.7,0,31,-6,3,0,262.55,-62.07,-62.72,16.52
43,13.7,0,31,-6,4,0,265.43,-62.07,-62.72,16.52
44,13.7,0,31,-6,5,0,264.87,-60.52,-60.97,14.54
45,13.7,0,31,-6,6,0,262.38,-60.52,-60.97,14.58
46,13.7,0,31,-6,7,0,264.02,-59,-59.32,13.04
47,13.7,0,31,-6,8,0,262.27,-59.01,-59.32,13.06
48,13.7,0,31,-6,9,0,262.06,-57.34,-57.56,11.81
49,13.7,0,31,-6,10,0,264.64,-57.34,-57.55,11.83
50,13.7,0,31,-6,11,0,260.59,-55.64,-55.78,10.87
51,13.7,0,31,-6,12,0,262.03,-55.64,-55.79,10.84
52,13.7,0,31,-6,13,0,263.25,-53.92,-54.03,10.21
53,13.7,0,31,-6,14,0,262.98,-53.92,-54.02,10.21
54,13.7,0,31,-6,15,0,261.2,-52.06,-52.13,9.8
